scenario,method,rho,sigma_2,rep,euclidean_dist,max_abs_coef_diff,cosine_similarity,prediction_mse,prediction_mae,prediction_corr
cart_N1000_p10_rho0.0_sigma2.0_rep22,cart,0.0,2.0,22,1.5063635189406201,0.8321718486624191,0.948636653657049,2.2202928944304126,1.191300770919355,0.9592879604125704
cart_N1000_p10_rho0.0_sigma2.0_rep23,cart,0.0,2.0,23,1.3817637705389705,0.7117721858585717,0.9456799265593635,1.8724047366797765,1.0871556143668626,0.9585615246370057
cart_N1000_p10_rho0.0_sigma2.0_rep24,cart,0.0,2.0,24,1.514069853278693,0.6399069968595594,0.9094301244555721,2.2473843656741095,1.197923112114559,0.906486877486117
cart_N1000_p10_rho0.0_sigma2.0_rep25,cart,0.0,2.0,25,1.4854628006462596,0.7194748185761615,0.9357625919172484,2.1930886165331556,1.1798628552993664,0.9333838520761398
cart_N1000_p10_rho0.0_sigma2.0_rep26,cart,0.0,2.0,26,1.5428068063323916,0.7919031147225137,0.9159359630995487,2.345064156434204,1.2220356851496073,0.9325648923714782
cart_N1000_p10_rho0.0_sigma2.0_rep27,cart,0.0,2.0,27,1.3909060789683485,0.6762974984755792,0.9528164955749838,1.9169797690788872,1.1019728251234218,0.9687990952282289
cart_N1000_p10_rho0.0_sigma2.0_rep28,cart,0.0,2.0,28,1.458726829286337,0.608937369202708,0.9550851248076618,2.086365178179521,1.1514716628226165,0.9758745110796837
cart_N1000_p10_rho0.0_sigma2.0_rep29,cart,0.0,2.0,29,1.3939053638086127,0.7403261922207299,0.9293168615522037,1.9126430204877816,1.1071132885139285,0.9375813270888297
cart_N1000_p10_rho0.0_sigma2.0_rep3,cart,0.0,2.0,3,1.4353747909315646,0.7456625843632675,0.9343585709883767,1.9983861756631225,1.1244461585710976,0.9346664514378294
cart_N1000_p10_rho0.0_sigma2.0_rep30,cart,0.0,2.0,30,1.319691584006071,0.6219873518635441,0.9711830267132436,1.7076525744558713,1.0394891894745684,0.9789161133436615
cart_N1000_p10_rho0.0_sigma2.0_rep31,cart,0.0,2.0,31,1.4821960119340893,0.743524016092988,0.9464153938001716,2.1538413339605826,1.1712034613435105,0.9626735794338469
cart_N1000_p10_rho0.0_sigma2.0_rep32,cart,0.0,2.0,32,1.3927667000632968,0.7080925418532059,0.9512114507077719,1.90965431232857,1.1018218441633747,0.9730690650245124
cart_N1000_p10_rho0.0_sigma2.0_rep33,cart,0.0,2.0,33,1.1351002735725262,0.4562247722445223,0.984343923810544,1.2744958829516633,0.9001285698415239,0.983739870511988
cart_N1000_p10_rho0.0_sigma2.0_rep34,cart,0.0,2.0,34,1.4171726685828787,0.7605189590147379,0.9448373079431351,1.9510916251138064,1.1122491468409157,0.9714509030553999
cart_N1000_p10_rho0.0_sigma2.0_rep35,cart,0.0,2.0,35,1.2662596512751076,0.5534893663890855,0.9525375050519751,1.5775360935159761,1.0008933530131476,0.976534472184559
cart_N1000_p10_rho0.0_sigma2.0_rep36,cart,0.0,2.0,36,1.5208329134023721,0.7034381288204867,0.9494190173283654,2.292467398010173,1.206529661907328,0.9438263203346678
cart_N1000_p10_rho0.0_sigma2.0_rep37,cart,0.0,2.0,37,1.2235793413663627,0.5643350216630953,0.9507029230644629,1.4756628623228571,0.9681842108196798,0.9573140956240543
cart_N1000_p10_rho0.0_sigma2.0_rep38,cart,0.0,2.0,38,1.346341047112031,0.6958998832493546,0.9424503553988871,1.8073291912713276,1.06984565534697,0.9407515921023623
cart_N1000_p10_rho0.0_sigma2.0_rep39,cart,0.0,2.0,39,1.7880092330826747,0.9285009361630614,0.8848746257752506,3.134847412912469,1.416427314399568,0.8766386188076457
cart_N1000_p10_rho0.0_sigma2.0_rep4,cart,0.0,2.0,4,1.3441631032651058,0.6318665878763342,0.9545611383097375,1.7541129640134225,1.0570804443584054,0.9580661396201048
cart_N1000_p10_rho0.0_sigma2.0_rep40,cart,0.0,2.0,40,1.313068549037474,0.6377119559182257,0.9458263446206836,1.6757596005865933,1.034938600475112,0.9654790196304106
cart_N1000_p10_rho0.0_sigma2.0_rep41,cart,0.0,2.0,41,1.5311014720630125,0.7444110774863513,0.9466461611031249,2.3089677225438856,1.2105126928692387,0.9396579236304353
cart_N1000_p10_rho0.0_sigma2.0_rep42,cart,0.0,2.0,42,1.5684437494842163,0.6869544761895463,0.9453632154310655,2.3790775947404095,1.2304011839739584,0.9540470844508365
cart_N1000_p10_rho0.0_sigma2.0_rep43,cart,0.0,2.0,43,1.4241411226150413,0.694311515948251,0.9442443500453898,1.982490553031582,1.1214911886508865,0.9435670436281424
cart_N1000_p10_rho0.0_sigma2.0_rep44,cart,0.0,2.0,44,1.548234084935026,0.6280255258153767,0.9655723957925457,2.3174296878997707,1.215151719466065,0.9757668001703885
cart_N1000_p10_rho0.0_sigma2.0_rep45,cart,0.0,2.0,45,1.505001842204084,0.7239413053017578,0.940006019573117,2.218166846615464,1.1835133593259646,0.9429332402884547
cart_N1000_p10_rho0.0_sigma2.0_rep46,cart,0.0,2.0,46,1.345017266410982,0.6954870278755868,0.9488705623789551,1.7756545267256778,1.0614957210439104,0.9663213815231111
cart_N1000_p10_rho0.0_sigma2.0_rep47,cart,0.0,2.0,47,1.3512500801201939,0.6843537807857127,0.9543862113040055,1.7669852503718113,1.061118069871922,0.9605815617792292
cart_N1000_p10_rho0.0_sigma2.0_rep48,cart,0.0,2.0,48,1.510147950649531,0.7916502530426768,0.9215668534711723,2.2510835705751266,1.1978790692888501,0.9262482481862945
cart_N1000_p10_rho0.0_sigma2.0_rep49,cart,0.0,2.0,49,1.5456273362378847,0.7518779986788042,0.9391133433994138,2.355641341422235,1.2196371334243348,0.9383372282937047
cart_N1000_p10_rho0.0_sigma2.0_rep5,cart,0.0,2.0,5,1.4257927069619134,0.7503958855410899,0.9188563643926315,2.009960264943171,1.1300505764509963,0.9084752143280099
cart_N1000_p10_rho0.0_sigma2.0_rep50,cart,0.0,2.0,50,1.4284721099199784,0.7331764658736659,0.9198039290988703,2.0248747252136443,1.1351593037269816,0.9299724629230309
cart_N1000_p10_rho0.0_sigma2.0_rep51,cart,0.0,2.0,51,1.4775028463258502,0.7574646199515107,0.9340692142182792,2.1325001832263393,1.162250694931506,0.9393347063363109
cart_N1000_p10_rho0.0_sigma2.0_rep52,cart,0.0,2.0,52,1.5115916338920377,0.6973326187376322,0.9284810544338659,2.2227040612344258,1.1884305534362454,0.9293895125255555
cart_N1000_p10_rho0.0_sigma2.0_rep53,cart,0.0,2.0,53,1.5713752427476242,0.6811268985061076,0.945620807450472,2.3980717857560405,1.237738347609529,0.953123038859656
cart_N1000_p10_rho0.0_sigma2.0_rep54,cart,0.0,2.0,54,1.618992004059531,0.89886936310768,0.9010794054590391,2.565234704855215,1.2798265245725335,0.9056520375279378
