method,rho,sigma_2,rep,term,beta_true,beta_od,beta_sd,diff
cart,0.0,1.0,100,β3,1,1.0182435579803064,0.7985840698573253,0.21965948812298108
cart,0.0,1.0,100,β4,1,0.9734033588115125,0.4790386912959324,0.4943646675155801
cart,0.0,1.0,100,β5,1,0.9824423443101397,0.5176040138170103,0.4648383304931294
cart,0.0,1.0,100,β6,1,0.9699759254437764,0.40826851316693763,0.5617074122768388
cart,0.0,1.0,100,β7,1,1.0190248563244837,0.5098909089865048,0.5091339473379789
cart,0.0,1.0,100,β8,1,1.0038311751770737,0.607460399340864,0.3963707758362096
cart,0.0,1.0,100,β9,1,1.027776580757189,0.7606007458777945,0.26717583487939456
cart,0.0,1.0,100,β10,1,0.9833093738729572,0.36700257178136886,0.6163068020915884
cart,0.0,1.0,11,β₀ (intercept),1,1.026967458723406,0.7201980307067757,0.3067694280166302
cart,0.0,1.0,11,β1,1,0.9985807764187877,0.9576783447516111,0.040902431667176664
cart,0.0,1.0,11,β2,1,1.0557951891430672,0.5360522835651367,0.5197429055779306
cart,0.0,1.0,11,β3,1,1.02500205891821,0.6235289120884425,0.40147314682976754
cart,0.0,1.0,11,β4,1,1.0108659888036653,0.360107032359051,0.6507589564446143
cart,0.0,1.0,11,β5,1,0.9978361240639667,0.08866063988636359,0.9091754841776031
cart,0.0,1.0,11,β6,1,1.0183200390904554,0.6846510488818588,0.33366899020859664
cart,0.0,1.0,11,β7,1,0.9926215594884681,0.37481264473187936,0.6178089147565887
cart,0.0,1.0,11,β8,1,1.0126405504289921,0.4509928290745836,0.5616477213544085
cart,0.0,1.0,11,β9,1,1.0034881096300878,0.8201972787623177,0.1832908308677701
cart,0.0,1.0,11,β10,1,0.9549590665241716,0.25592278499702636,0.6990362815271453
cart,0.0,1.0,12,β₀ (intercept),1,0.9907277197968714,1.171677102640936,-0.1809493828440647
cart,0.0,1.0,12,β1,1,0.9735746091538481,0.5072335699181004,0.46634103923574766
cart,0.0,1.0,12,β2,1,1.0138129256777608,0.5929932615108489,0.42081966416691197
cart,0.0,1.0,12,β3,1,0.9475770665811153,0.297422898903174,0.6501541676779412
cart,0.0,1.0,12,β4,1,0.985643550709031,0.7795468040243357,0.20609674668469524
cart,0.0,1.0,12,β5,1,1.0332490129241607,1.0129929029577194,0.020256109966441338
cart,0.0,1.0,12,β6,1,1.007117548583277,0.44162440460794483,0.5654931439753322
cart,0.0,1.0,12,β7,1,0.9909217044412493,0.6046135296309514,0.3863081748102979
cart,0.0,1.0,12,β8,1,1.0160182807836458,0.3823662966503348,0.633651984133311
cart,0.0,1.0,12,β9,1,1.061915004907799,0.5352821301531472,0.5266328747546518
cart,0.0,1.0,12,β10,1,0.9771464460878928,0.5674197239006411,0.4097267221872517
cart,0.0,1.0,13,β₀ (intercept),1,0.9962170290680008,0.914852010032748,0.08136501903525284
cart,0.0,1.0,13,β1,1,1.0177319569224759,0.539465147916456,0.4782668090060199
cart,0.0,1.0,13,β2,1,0.9945152177445985,0.7287836397893221,0.26573157795527635
cart,0.0,1.0,13,β3,1,0.9528196528771817,0.11056698715398176,0.8422526657232
cart,0.0,1.0,13,β4,1,1.0002232254759058,0.5416843665446235,0.4585388589312823
cart,0.0,1.0,13,β5,1,0.9653292573277225,0.9077659989652612,0.057563258362461234
cart,0.0,1.0,13,β6,1,0.9843441068520795,0.6935166764616361,0.29082743039044345
cart,0.0,1.0,13,β7,1,1.019087842698458,0.5081178949559039,0.5109699477425541
cart,0.0,1.0,13,β8,1,1.020063342594499,0.8447545143951849,0.17530882819931404
cart,0.0,1.0,13,β9,1,1.028178855221384,0.5695054282555428,0.4586734269658411
cart,0.0,1.0,13,β10,1,0.9753594960729107,0.6015997760843758,0.37375971998853497
cart,0.0,1.0,14,β₀ (intercept),1,1.0041183687819624,1.0688744091266986,-0.06475604034473625
cart,0.0,1.0,14,β1,1,1.015451465287201,0.8473255365311021,0.168125928756099
cart,0.0,1.0,14,β2,1,0.9731184660010034,0.8564639865045871,0.11665447949641627
cart,0.0,1.0,14,β3,1,1.0019667011666675,0.6340309848927097,0.3679357162739578
cart,0.0,1.0,14,β4,1,1.0188112367223068,0.5917200808116568,0.42709115591064994
cart,0.0,1.0,14,β5,1,0.9757892830172096,0.45501230389607616,0.5207769791211334
cart,0.0,1.0,14,β6,1,1.0505782205184468,0.6711050339853074,0.37947318653313944
cart,0.0,1.0,14,β7,1,0.9822966038724643,0.4473822340154176,0.5349143698570467
cart,0.0,1.0,14,β8,1,0.9449793977394851,0.542360941130397,0.4026184566090881
cart,0.0,1.0,14,β9,1,0.9982745080968012,0.37326640641543807,0.6250081016813631
cart,0.0,1.0,14,β10,1,1.0462194471710828,0.3336696700870979,0.7125497770839849
cart,0.0,1.0,15,β₀ (intercept),1,0.9765253841893629,0.8312697582745032,0.14525562591485963
cart,0.0,1.0,15,β1,1,0.9631241922545657,0.3611242423515234,0.6019999499030423
cart,0.0,1.0,15,β2,1,0.9827948874909515,0.488519958883939,0.49427492860701244
cart,0.0,1.0,15,β3,1,1.0034115049902619,0.8701420641234774,0.1332694408667845
cart,0.0,1.0,15,β4,1,1.0077812574437137,0.47166226716230586,0.5361189902814079
cart,0.0,1.0,15,β5,1,1.0488150630183484,0.9181288983272649,0.13068616469108352
