method,rho,sigma_2,rep,r2_od,r2_sd,r2_diff,ci_overlap_pct
cart,0.0,1.5,81,0.8702554512183729,0.3805198475011071,0.48973560371726577,18.245838635360062
cart,0.0,1.5,82,0.8758309699003496,0.3318823428643155,0.5439486270360341,6.203079121784338
cart,0.0,1.5,83,0.8731190210506042,0.2801346207387403,0.592984400311864,0.3524019736025354
cart,0.0,1.5,84,0.8723787394532809,0.3630893794439225,0.5092893600093584,6.179243638383773
cart,0.0,1.5,85,0.8760992326904897,0.3380060992272583,0.5380931334632314,5.243450021986538
cart,0.0,1.5,86,0.8629802047741177,0.3532500710855385,0.5097301336885792,8.316975941170824
cart,0.0,1.5,87,0.8645150128746314,0.34385254202352866,0.5206624708511027,12.870282165158354
cart,0.0,1.5,88,0.8751795433652505,0.3230978094104897,0.5520817339547608,0.0
cart,0.0,1.5,89,0.8584146147817964,0.32636132911676907,0.5320532856650273,3.085259165175879
cart,0.0,1.5,9,0.8618245674129804,0.3368907454745379,0.5249338219384425,9.978769637371224
cart,0.0,1.5,90,0.8678103314033929,0.3809495432019434,0.4868607882014495,8.088632201051269
cart,0.0,1.5,91,0.8834048220231489,0.3979956966134909,0.48540912540965797,6.199414193318701
cart,0.0,1.5,92,0.8791107095260033,0.3296182466168631,0.5494924629091402,8.456496239076122
cart,0.0,1.5,93,0.8634632018753605,0.31019957305883983,0.5532636288165207,6.109474988199213
cart,0.0,1.5,94,0.8630423752176557,0.3765312115699495,0.4865111636477062,18.659333811714838
cart,0.0,1.5,95,0.8796570550146018,0.3488786099298812,0.5307784450847206,1.2406232268971074
cart,0.0,1.5,96,0.8699392671234454,0.34456075241177175,0.5253785147116736,8.048970386412886
cart,0.0,1.5,97,0.8808636127966403,0.3906585132249111,0.4902050995717292,3.1937199178058115
cart,0.0,1.5,98,0.8698233901008782,0.3777440876464744,0.4920793024544038,6.62533177305826
cart,0.0,1.5,99,0.8776835581708334,0.3771941944339645,0.5004893637368689,6.2867991861705175
cart,0.0,2.0,1,0.8277003889350973,0.37350519052156683,0.4541951984135305,13.688564321394967
cart,0.0,2.0,10,0.8253130715958936,0.3718672620878054,0.4534458095080882,8.355422329257946
cart,0.0,2.0,100,0.8260431448082846,0.3327243805172899,0.49331876429099464,8.81719836433766
cart,0.0,2.0,11,0.8392252920516698,0.28909155868184544,0.5501337333698244,6.295871195046914
cart,0.0,2.0,12,0.8413849378959526,0.3076026954635521,0.5337822424324005,8.92347052445027
cart,0.0,2.0,13,0.8257732123830835,0.2873626124191162,0.5384105999639673,9.05926652700257
cart,0.0,2.0,14,0.8184898830279197,0.3598594814704007,0.458630401557519,14.516750536971834
cart,0.0,2.0,15,0.8355737316001514,0.31818164527063575,0.5173920863295156,11.710236386058144
cart,0.0,2.0,16,0.8534852616612383,0.33075375877620183,0.5227315028850364,2.881560956604561
cart,0.0,2.0,17,0.8436676578623066,0.38044821410940266,0.4632194437529039,13.575034767213506
cart,0.0,2.0,18,0.8270733952323563,0.31562782251176524,0.5114455727205911,7.98843097129081
cart,0.0,2.0,19,0.8248498200758656,0.301734737052882,0.5231150830229836,5.191919459844115
cart,0.0,2.0,2,0.829041360958741,0.2643045771619784,0.5647367837967626,1.2197101940753687
cart,0.0,2.0,20,0.8369898087630125,0.3512241927965176,0.4857656159664949,6.879224267542798
cart,0.0,2.0,21,0.840026873269785,0.33255637516521697,0.507470498104568,5.9756974012021
cart,0.0,2.0,22,0.8266541535196996,0.3029433781666181,0.5237107753530815,0.0
cart,0.0,2.0,23,0.8316539559655289,0.3651614397084898,0.46649251625703914,6.084550675803959
cart,0.0,2.0,24,0.8171219414334296,0.33256040704138656,0.4845615343920431,6.104996159654665
